anime_id,nome_genero
16498,Action
16498,Drama
16498,Fantasy
16498,Mystery
101922,Action
101922,Adventure
101922,Drama
101922,Fantasy
101922,Supernatural
113415,Action
113415,Drama
113415,Supernatural
1535,Mystery
1535,Psychological
1535,Supernatural
1535,Thriller
21459,Action
21459,Adventure
21459,Comedy
11061,Action
11061,Adventure
11061,Fantasy
21087,Action
21087,Comedy
21087,Sci-Fi
21087,Supernatural
21,Action
21,Adventure
21,Comedy
21,Drama
21,Fantasy
20605,Action
20605,Drama
20605,Horror
20605,Mystery
20605,Psychological
20605,Supernatural
20958,Action
20958,Drama
20958,Fantasy
20958,Mystery
5114,Action
5114,Adventure
5114,Drama
5114,Fantasy
20,Action
20,Adventure
20,Comedy
20,Drama
20,Fantasy
20,Supernatural
11757,Action
11757,Adventure
11757,Fantasy
11757,Romance
20954,Drama
20954,Romance
20954,Slice of Life
21519,Drama
21519,Romance
21519,Supernatural
99147,Action
99147,Drama
99147,Fantasy
99147,Mystery
21856,Action
21856,Adventure
21856,Comedy
110277,Action
110277,Drama
110277,Fantasy
110277,Mystery
101759,Drama
101759,Fantasy
101759,Horror
101759,Mystery
101759,Psychological
101759,Thriller
127230,Action
127230,Drama
127230,Horror
127230,Supernatural
20755,Action
20755,Comedy
20755,Drama
20755,Supernatural
21507,Action
21507,Comedy
21507,Drama
21507,Psychological
21507,Slice of Life
21507,Supernatural
21355,Action
21355,Adventure
21355,Drama
21355,Fantasy
21355,Psychological
21355,Romance
21355,Thriller
20665,Drama
20665,Music
20665,Romance
20665,Slice of Life
104578,Action
104578,Drama
104578,Fantasy
104578,Mystery
1735,Action
1735,Adventure
1735,Comedy
1735,Drama
1735,Fantasy
1735,Supernatural
21234,Drama
21234,Mystery
21234,Psychological
21234,Supernatural
21234,Thriller
100166,Action
100166,Adventure
100166,Comedy
100166,Drama
9253,Drama
9253,Psychological
9253,Sci-Fi
9253,Thriller
20464,Comedy
20464,Drama
20464,Sports
97940,Action
97940,Adventure
97940,Comedy
97940,Fantasy
101291,Comedy
101291,Drama
101291,Mystery
101291,Psychological
101291,Romance
101291,Supernatural
140960,Action
140960,Comedy
140960,Slice of Life
140960,Supernatural
101921,Comedy
101921,Psychological
101921,Romance
101921,Slice of Life
105333,Action
105333,Adventure
105333,Comedy
105333,Sci-Fi
21827,Drama
21827,Fantasy
21827,Slice of Life
101348,Action
101348,Adventure
101348,Drama
4224,Comedy
4224,Drama
4224,Romance
4224,Slice of Life
20447,Action
20447,Adventure
20447,Comedy
20447,Supernatural
20613,Action
20613,Adventure
20613,Drama
20613,Fantasy
20613,Horror
20613,Psychological
20613,Thriller
124080,Comedy
124080,Romance
124080,Slice of Life
104276,Action
104276,Adventure
104276,Comedy
104276,Drama
104276,Sci-Fi
269,Action
269,Adventure
269,Supernatural
112151,Action
112151,Adventure
112151,Drama
112151,Fantasy
112151,Mystery
112151,Supernatural
20623,Action
20623,Drama
20623,Horror
20623,Psychological
20623,Sci-Fi
99423,Action
99423,Drama
99423,Mecha
99423,Psychological
99423,Romance
99423,Sci-Fi
1575,Action
1575,Drama
1575,Mecha
1575,Sci-Fi
1575,Thriller
30,Action
30,Drama
30,Mecha
30,Mystery
30,Psychological
30,Sci-Fi
145064,Action
145064,Drama
145064,Supernatural
105310,Action
105310,Drama
105310,Sci-Fi
105310,Supernatural
142329,Action
142329,Adventure
142329,Fantasy
142329,Supernatural
199,Adventure
199,Drama
199,Fantasy
199,Supernatural
14719,Action
14719,Adventure
14719,Supernatural
154587,Adventure
154587,Drama
154587,Fantasy
20931,Drama
20931,Mystery
20931,Psychological
20931,Supernatural
20931,Thriller
97668,Action
97668,Comedy
97668,Sci-Fi
97668,Supernatural
1,Action
1,Adventure
1,Drama
1,Sci-Fi
9919,Action
9919,Fantasy
9919,Supernatural
101280,Action
101280,Adventure
101280,Comedy
101280,Fantasy
99263,Action
99263,Adventure
99263,Fantasy
98314,Drama
98314,Mystery
98314,Psychological
20594,Action
20594,Adventure
20594,Fantasy
20594,Sci-Fi
101338,Action
101338,Comedy
101338,Drama
101338,Psychological
101338,Slice of Life
101338,Supernatural
98659,Drama
98659,Psychological
120120,Action
120120,Drama
120120,Romance
120120,Supernatural
6547,Action
6547,Comedy
6547,Drama
6547,Supernatural
151807,Action
151807,Adventure
151807,Fantasy
131681,Action
131681,Drama
131681,Fantasy
131681,Mystery
131681,Psychological
112641,Comedy
112641,Psychological
112641,Romance
112641,Slice of Life
131573,Action
131573,Supernatural
20997,Comedy
20997,Drama
20997,Romance
20997,Sci-Fi
20997,Supernatural
10620,Action
10620,Horror
10620,Mystery
10620,Psychological
10620,Supernatural
10620,Thriller
21311,Action
21311,Comedy
21311,Mystery
21311,Supernatural
117193,Action
117193,Adventure
117193,Comedy
117193,Sci-Fi
20850,Action
20850,Drama
20850,Horror
20850,Mystery
20850,Psychological
20850,Supernatural
97986,Adventure
97986,Drama
97986,Fantasy
97986,Horror
97986,Mystery
97986,Sci-Fi
20832,Action
20832,Adventure
20832,Fantasy
20992,Comedy
20992,Drama
20992,Sports
20920,Action
20920,Adventure
20920,Comedy
20920,Fantasy
20920,Romance
15809,Comedy
15809,Fantasy
15809,Romance
15809,Slice of Life
9989,Drama
9989,Romance
9989,Slice of Life
9989,Supernatural
3588,Action
3588,Adventure
3588,Comedy
3588,Fantasy
3588,Supernatural
11111,Horror
11111,Mystery
11111,Psychological
11111,Supernatural
11111,Thriller
120377,Action
120377,Drama
120377,Psychological
120377,Sci-Fi
171018,Action
171018,Comedy
171018,Drama
171018,Romance
171018,Sci-Fi
171018,Supernatural
14813,Comedy
14813,Drama
14813,Romance
14813,Slice of Life
6702,Action
6702,Adventure
6702,Comedy
6702,Fantasy
2001,Action
2001,Comedy
2001,Drama
2001,Mecha
2001,Romance
2001,Sci-Fi
108632,Action
108632,Adventure
108632,Drama
108632,Fantasy
108632,Psychological
108632,Thriller
101347,Action
101347,Adventure
101347,Drama
101347,Supernatural
99750,Drama
99750,Romance
99750,Slice of Life
145139,Action
145139,Adventure
145139,Drama
145139,Fantasy
145139,Supernatural
21170,Action
21170,Comedy
21170,Drama
21170,Supernatural
431,Adventure
431,Drama
431,Fantasy
431,Romance
21698,Comedy
21698,Drama
21698,Sports
2904,Action
2904,Drama
2904,Mecha
2904,Sci-Fi
2904,Thriller
129874,Action
129874,Adventure
129874,Drama
129874,Fantasy
129874,Mystery
129874,Supernatural
128893,Action
128893,Adventure
128893,Mystery
128893,Supernatural
21804,Comedy
21804,Slice of Life
21804,Supernatural
13601,Action
13601,Psychological
13601,Sci-Fi
13601,Thriller
106286,Drama
106286,Romance
106286,Slice of Life
106286,Supernatural
14741,Comedy
14741,Drama
14741,Romance
14741,Slice of Life
98460,Action
98460,Drama
98460,Horror
98460,Psychological
98460,Supernatural
12189,Mystery
12189,Romance
12189,Slice of Life
10087,Action
10087,Drama
10087,Fantasy
10087,Supernatural
20474,Action
20474,Adventure
20474,Supernatural
5081,Comedy
5081,Drama
5081,Mystery
5081,Psychological
5081,Romance
5081,Supernatural
19,Drama
19,Horror
19,Mystery
19,Psychological
19,Thriller
115230,Action
115230,Adventure
115230,Drama
115230,Fantasy
115230,Mystery
113936,Action
113936,Adventure
113936,Comedy
113936,Sci-Fi
21776,Comedy
21776,Fantasy
21776,Slice of Life
142838,Action
142838,Comedy
142838,Slice of Life
142838,Supernatural
20829,Action
20829,Drama
20829,Fantasy
20829,Mystery
20829,Supernatural
99578,Comedy
99578,Romance
99578,Slice of Life
150672,Drama
150672,Mystery
150672,Psychological
150672,Supernatural
9756,Action
9756,Drama
9756,Fantasy
9756,Mahou Shoujo
9756,Psychological
9756,Thriller
137822,Action
137822,Drama
137822,Sports
108725,Action
108725,Adventure
108725,Drama
108725,Fantasy
108725,Horror
108725,Psychological
108725,Thriller
116589,Action
116589,Drama
116589,Mecha
116589,Sci-Fi
103572,Comedy
103572,Drama
103572,Romance
103572,Slice of Life
161645,Drama
161645,Mystery
133965,Comedy
133965,Romance
133965,Slice of Life
108511,Action
108511,Adventure
108511,Comedy
108511,Fantasy
114535,Adventure
114535,Drama
114535,Fantasy
114535,Psychological
114535,Supernatural
21450,Action
21450,Adventure
21450,Drama
21450,Mystery
21450,Supernatural
21128,Action
21128,Adventure
21128,Comedy
21128,Supernatural
130298,Action
130298,Comedy
130298,Fantasy
105334,Comedy
105334,Drama
105334,Romance
105334,Slice of Life
105334,Supernatural
100388,Action
100388,Drama
100388,Psychological
100388,Thriller
113813,Comedy
113813,Drama
113813,Romance
100240,Action
100240,Horror
100240,Mystery
100240,Psychological
100240,Supernatural
119661,Action
119661,Adventure
119661,Drama
119661,Fantasy
119661,Psychological
119661,Romance
119661,Thriller
176496,Action
176496,Adventure
176496,Fantasy
101165,Action
101165,Adventure
101165,Fantasy
164,Action
164,Adventure
164,Drama
164,Fantasy
114236,Action
114236,Drama
114236,Sci-Fi
114236,Supernatural
102883,Action
102883,Adventure
102883,Drama
102883,Mystery
102883,Supernatural
2167,Comedy
2167,Drama
2167,Romance
2167,Slice of Life
2167,Supernatural
116006,Action
116006,Fantasy
918,Action
918,Comedy
918,Drama
918,Sci-Fi
6746,Action
6746,Mystery
6746,Supernatural
106625,Comedy
106625,Drama
106625,Sports
125367,Comedy
125367,Psychological
125367,Romance
125367,Slice of Life
20799,Action
20799,Adventure
20799,Drama
20799,Supernatural
20661,Drama
20661,Mystery
20661,Psychological
20661,Thriller
100182,Action
100182,Adventure
100182,Fantasy
100182,Sci-Fi
7054,Comedy
7054,Drama
7054,Romance
151801,Action
151801,Comedy
151801,Fantasy
11771,Comedy
11771,Sports
124845,Action
124845,Drama
124845,Fantasy
124845,Mystery
124845,Psychological
124845,Sci-Fi
124845,Thriller
18153,Action
18153,Drama
18153,Fantasy
18153,Slice of Life
18153,Supernatural
141391,Comedy
141391,Psychological
141391,Romance
141391,Slice of Life
141391,Supernatural
523,Adventure
523,Fantasy
523,Slice of Life
523,Supernatural
153288,Action
153288,Sci-Fi
205,Action
205,Adventure
205,Comedy
5680,Comedy
5680,Music
5680,Slice of Life
13759,Comedy
13759,Drama
13759,Romance
13759,Slice of Life
21613,Action
21613,Fantasy
20698,Comedy
20698,Drama
20698,Romance
20698,Slice of Life
166240,Action
166240,Adventure
166240,Drama
166240,Fantasy
166240,Supernatural
136430,Action
136430,Adventure
136430,Drama
116742,Action
116742,Adventure
116742,Comedy
116742,Fantasy
139630,Action
139630,Adventure
18897,Comedy
18897,Romance
18897,Slice of Life
120697,Comedy
120697,Romance
120697,Slice of Life
112301,Action
112301,Comedy
112301,Fantasy
